row_number_in_csv_including_header,date_raw,parsed_date,rule,severity,message,open,high,low,close,volume_kg
5472,9/4/2025,2025-04-09,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,718,729,713,728.5,1905500
5488,6/5/2025,2025-05-06,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,785,797.5,785,792.2,1269400
5507,3/6/2025,2025-06-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,786.5,786.5,776,778.55,663818
5593,9/10/2025,2025-10-09,weekday_gap,warning,与上一交易日相隔 9 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,917.9,918.8,902,911.5,1559500
5653,5/1/2026,2026-01-05,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,990,996,987.01,993.98,1872000
5683,18/2/2026,2026-02-18,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,1124,1127,1092,1109,594338
5684,24/2/2026,2026-02-24,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,1155,1158,1138.3,1147.66,865414
5713,7/4/2026,2026-04-07,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,1032,1035,1026,1028,581218
5731,6/5/2026,2026-05-06,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,1017,1027,1014.04,1027,421474
5763,22/6/2026,2026-06-22,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,917.5,920,908.01,913.8,577212
796,3/2/2006,2006-02-03,large_close_change_warning,warning,close 单日变化 -22.34%，属于极端变化警告，不自动判定为错误。,112.6,112.6,111.83,111.83,266
797,6/2/2006,2006-02-06,large_close_change_warning,warning,close 单日变化 32.16%，属于极端变化警告，不自动判定为错误。,148,148.08,147.69,147.8,447
864,8/5/2006,2006-05-08,large_close_change_warning,warning,close 单日变化 6.86%，属于极端变化警告，不自动判定为错误。,175.8,175.99,175.36,175.66,610
874,22/5/2006,2006-05-22,large_close_change_warning,warning,close 单日变化 -6.04%，属于极端变化警告，不自动判定为错误。,169.5,169.5,165.35,166.64,667
1448,18/9/2008,2008-09-18,large_close_change_warning,warning,close 单日变化 9.89%，属于极端变化警告，不自动判定为错误。,173.99,196,173.1,191.19,3390
1460,13/10/2008,2008-10-13,large_close_change_warning,warning,close 单日变化 -6.22%，属于极端变化警告，不自动判定为错误。,197.5,197.5,188.8,189.8,3237
1534,2/2/2009,2009-02-02,large_close_change_warning,warning,close 单日变化 6.06%，属于极端变化警告，不自动判定为错误。,200.8,202.39,198.89,199.8,2300
2187,26/9/2011,2011-09-26,large_close_change_warning,warning,close 单日变化 -8.89%，属于极端变化警告，不自动判定为错误。,351,351,322,328,77290
2560,15/4/2013,2013-04-15,large_close_change_warning,warning,close 单日变化 -7.02%，属于极端变化警告，不自动判定为错误。,305,305,285.6,289.9,178240
4345,12/8/2020,2020-08-12,large_close_change_warning,warning,close 单日变化 -6.05%，属于极端变化警告，不自动判定为错误。,415.27,428.5,401.4,406.8,137024
5672,30/1/2026,2026-01-30,large_close_change_warning,warning,close 单日变化 -6.36%，属于极端变化警告，不自动判定为错误。,1247.9,1248.5,1148.01,1164,2207300
5673,2/2/2026,2026-02-02,large_close_change_warning,warning,close 单日变化 -11.51%，属于极端变化警告，不自动判定为错误。,1153,1157,998,1030,2713600
5674,3/2/2026,2026-02-03,large_close_change_warning,warning,close 单日变化 6.50%，属于极端变化警告，不自动判定为错误。,1070,1100,1040,1097,2487400
5703,23/3/2026,2026-03-23,large_close_change_warning,warning,close 单日变化 -11.30%，属于极端变化警告，不自动判定为错误。,1040,1046,911,923.9,1718900
5704,24/3/2026,2026-03-24,large_close_change_warning,warning,close 单日变化 6.05%，属于极端变化警告，不自动判定为错误。,965,999,953.2,979.8,1812300
13,15/11/2002,2002-11-15,large_volume_change_warning,warning,volume_kg 单日变化 3966.67%，属于极端变化警告，不自动判定为错误。,85,85.01,85,85,122
44,2/1/2003,2003-01-02,large_volume_change_warning,warning,volume_kg 单日变化 3250.00%，属于极端变化警告，不自动判定为错误。,93,93,92.8,92.87,201
58,22/1/2003,2003-01-22,large_volume_change_warning,warning,volume_kg 单日变化 -93.58%，属于极端变化警告，不自动判定为错误。,97.5,97.5,97.34,97.41,7
59,23/1/2003,2003-01-23,large_volume_change_warning,warning,volume_kg 单日变化 685.71%，属于极端变化警告，不自动判定为错误。,98.48,98.5,97.65,97.69,55
71,19/2/2003,2003-02-19,large_volume_change_warning,warning,volume_kg 单日变化 684.62%，属于极端变化警告，不自动判定为错误。,93,93.59,93,93.43,306
136,26/5/2003,2003-05-26,large_volume_change_warning,warning,volume_kg 单日变化 586.67%，属于极端变化警告，不自动判定为错误。,97.4,97.65,97.4,97.59,103
153,18/6/2003,2003-06-18,large_volume_change_warning,warning,volume_kg 单日变化 636.36%，属于极端变化警告，不自动判定为错误。,96.9,96.9,96.4,96.43,81
211,9/9/2003,2003-09-09,large_volume_change_warning,warning,volume_kg 单日变化 710.00%，属于极端变化警告，不自动判定为错误。,99.9,100.44,99.9,100.36,81
234,21/10/2003,2003-10-21,large_volume_change_warning,warning,volume_kg 单日变化 614.29%，属于极端变化警告，不自动判定为错误。,100,100.19,99.98,100,100
264,2/12/2003,2003-12-02,large_volume_change_warning,warning,volume_kg 单日变化 -93.94%，属于极端变化警告，不自动判定为错误。,107,107,106.65,106.83,10
265,3/12/2003,2003-12-03,large_volume_change_warning,warning,volume_kg 单日变化 1740.00%，属于极端变化警告，不自动判定为错误。,107.19,107.59,107.16,107.38,184
452,6/9/2004,2004-09-06,large_volume_change_warning,warning,volume_kg 单日变化 807.69%，属于极端变化警告，不自动判定为错误。,107.5,107.59,107.34,107.55,236
492,8/11/2004,2004-11-08,large_volume_change_warning,warning,volume_kg 单日变化 1328.57%，属于极端变化警告，不自动判定为错误。,114.19,114.58,113.75,113.75,5000
493,9/11/2004,2004-11-09,large_volume_change_warning,warning,volume_kg 单日变化 -93.36%，属于极端变化警告，不自动判定为错误。,114.69,114.98,114.69,114.83,332
534,6/1/2005,2005-01-06,large_volume_change_warning,warning,volume_kg 单日变化 740.00%，属于极端变化警告，不自动判定为错误。,114.5,114.5,114.36,114.37,4368
578,18/3/2005,2005-03-18,large_volume_change_warning,warning,volume_kg 单日变化 545.97%，属于极端变化警告，不自动判定为错误。,117.5,117.8,117.4,117.73,2726
748,25/11/2005,2005-11-25,large_volume_change_warning,warning,volume_kg 单日变化 110588.41%，属于极端变化警告，不自动判定为错误。,128.5,128.5,127.8,128.47,611000
750,29/11/2005,2005-11-29,large_volume_change_warning,warning,volume_kg 单日变化 -99.96%，属于极端变化警告，不自动判定为错误。,129.39,130,129.39,129.5,196
1888,8/7/2010,2010-07-08,large_volume_change_warning,warning,volume_kg 单日变化 551.11%，属于极端变化警告，不自动判定为错误。,261.5,263.6,260.5,263.2,15848
1958,26/10/2010,2010-10-26,large_volume_change_warning,warning,volume_kg 单日变化 -93.74%，属于极端变化警告，不自动判定为错误。,291.5,291.5,287.49,287.9,232
1959,27/10/2010,2010-10-27,large_volume_change_warning,warning,volume_kg 单日变化 922.41%，属于极端变化警告，不自动判定为错误。,288.9,288.9,286.25,287.2,2372
1980,25/11/2010,2010-11-25,large_volume_change_warning,warning,volume_kg 单日变化 631.95%，属于极端变化警告，不自动判定为错误。,297.8,297.8,295,295.4,2891.2
1983,30/11/2010,2010-11-30,large_volume_change_warning,warning,volume_kg 单日变化 881.54%，属于极端变化警告，不自动判定为错误。,295.3,295.3,293.4,295,3190
1991,10/12/2010,2010-12-10,large_volume_change_warning,warning,volume_kg 单日变化 1374.39%，属于极端变化警告，不自动判定为错误。,298.8,299.48,297.01,299.39,47788
2058,23/3/2011,2011-03-23,large_volume_change_warning,warning,volume_kg 单日变化 674.46%，属于极端变化警告，不自动判定为错误。,302.8,303,301.56,302.8,51122
2066,4/4/2011,2011-04-04,large_volume_change_warning,warning,volume_kg 单日变化 -99.00%，属于极端变化警告，不自动判定为错误。,302.18,303.28,302.18,302.7,721
2067,6/4/2011,2011-04-06,large_volume_change_warning,warning,volume_kg 单日变化 5022.61%，属于极端变化警告，不自动判定为错误。,306.5,306.55,304,306.45,36934
2252,3/1/2012,2012-01-03,large_volume_change_warning,warning,volume_kg 单日变化 -99.97%，属于极端变化警告，不自动判定为错误。,320,320,320,320,20
2253,4/1/2012,2012-01-04,large_volume_change_warning,warning,volume_kg 单日变化 642670.00%，属于极端变化警告，不自动判定为错误。,328.45,328.78,325.6,328.78,128554
2496,3/1/2013,2013-01-03,large_volume_change_warning,warning,volume_kg 单日变化 -99.97%，属于极端变化警告，不自动判定为错误。,333,333,333,333,10
2497,4/1/2013,2013-01-04,large_volume_change_warning,warning,volume_kg 单日变化 930780.00%，属于极端变化警告，不自动判定为错误。,334.99,334.99,330.9,331.5,93088
2522,18/2/2013,2013-02-18,large_volume_change_warning,warning,volume_kg 单日变化 614.37%，属于极端变化警告，不自动判定为错误。,332.5,333.75,326.4,327.38,220240
2570,1/5/2013,2013-05-01,large_volume_change_warning,warning,volume_kg 单日变化 -100.00%，属于极端变化警告，不自动判定为错误。,295,295,295,295,8
2571,2/5/2013,2013-05-02,large_volume_change_warning,warning,volume_kg 单日变化 2976300.00%，属于极端变化警告，不自动判定为错误。,296.5,296.57,292.25,294.59,238112
2758,7/2/2014,2014-02-07,large_volume_change_warning,warning,volume_kg 单日变化 1354.33%，属于极端变化警告，不自动判定为错误。,247.49,248.5,246.4,248.2,232417
2799,7/4/2014,2014-04-07,large_volume_change_warning,warning,volume_kg 单日变化 -100.00%，属于极端变化警告，不自动判定为错误。,258,258,258,258,4
2800,8/4/2014,2014-04-08,large_volume_change_warning,warning,volume_kg 单日变化 2890650.00%，属于极端变化警告，不自动判定为错误。,257.64,261.3,257.58,261,115630
3349,2/7/2016,2016-07-02,large_volume_change_warning,warning,volume_kg 单日变化 -96.88%，属于极端变化警告，不自动判定为错误。,285,287.35,281,286.72,5783
3350,4/7/2016,2016-07-04,large_volume_change_warning,warning,volume_kg 单日变化 2907.40%，属于极端变化警告，不自动判定为错误。,285,291.25,281,289.35,173918
5430,5/2/2025,2025-02-05,large_volume_change_warning,warning,volume_kg 单日变化 -98.54%，属于极端变化警告，不自动判定为错误。,669.21,669.78,660.5,667.87,933
5451,6/3/2025,2025-03-06,large_volume_change_warning,warning,volume_kg 单日变化 80007.65%，属于极端变化警告，不自动判定为错误。,681,681.8,677,679.2,848340
2,30/10/2002,2002-10-30,extreme_intraday_range,warning,日内振幅 (high-low)/close = 12.42%，属于极端日内振幅警告，需人工复核。,83.98,92.37,82,83.51,352
483,26/10/2004,2004-10-26,extreme_intraday_range,warning,日内振幅 (high-low)/close = 8.38%，属于极端日内振幅警告，需人工复核。,103.8,113.27,103.8,113,492
573,11/3/2005,2005-03-11,extreme_intraday_range,warning,日内振幅 (high-low)/close = 8.20%，属于极端日内振幅警告，需人工复核。,108.19,117.83,108.19,117.63,492
764,19/12/2005,2005-12-19,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.39%，属于极端日内振幅警告，需人工复核。,132,132.8,125.66,132.38,1595
891,14/6/2006,2006-06-14,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.42%，属于极端日内振幅警告，需人工复核。,150,151.8,142.5,144.94,847
893,16/6/2006,2006-06-16,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.10%，属于极端日内振幅警告，需人工复核。,147.69,158,147.3,150.69,341
1323,20/3/2008,2008-03-20,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.02%，属于极端日内振幅警告，需人工复核。,223,223,208,213.6,5769
1422,12/8/2008,2008-08-12,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.88%，属于极端日内振幅警告，需人工复核。,190.27,190.27,177.89,180,2683
1448,18/9/2008,2008-09-18,extreme_intraday_range,warning,日内振幅 (high-low)/close = 11.98%，属于极端日内振幅警告，需人工复核。,173.99,196,173.1,191.19,3390
1449,19/9/2008,2008-09-19,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.75%，属于极端日内振幅警告，需人工复核。,191,197.5,185,185.07,2490
1468,23/10/2008,2008-10-23,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.07%，属于极端日内振幅警告，需人工复核。,169,170.39,160.5,162.89,5349
1474,31/10/2008,2008-10-31,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.52%，属于极端日内振幅警告，需人工复核。,171.05,171.05,162,164,3942
2166,25/8/2011,2011-08-25,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.50%，属于极端日内振幅警告，需人工复核。,386,386,358.9,361.1,71354
2181,16/9/2011,2011-09-16,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.45%，属于极端日内振幅警告，需人工复核。,374.98,374.98,354.98,366.85,75856
2187,26/9/2011,2011-09-26,extreme_intraday_range,warning,日内振幅 (high-low)/close = 8.84%，属于极端日内振幅警告，需人工复核。,351,351,322,328,77290
2293,7/3/2012,2012-03-07,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.87%，属于极端日内振幅警告，需人工复核。,360,360,340,340.8,52198
2560,15/4/2013,2013-04-15,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.69%，属于极端日内振幅警告，需人工复核。,305,305,285.6,289.9,178240
2561,16/4/2013,2013-04-16,extreme_intraday_range,warning,日内振幅 (high-low)/close = 9.72%，属于极端日内振幅警告，需人工复核。,289.9,289.9,263.2,274.7,217164
2620,16/7/2013,2013-07-16,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.53%，属于极端日内振幅警告，需人工复核。,259.7,277.5,258,259.1,126752
2732,26/12/2013,2013-12-26,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.64%，属于极端日内振幅警告，需人工复核。,239.38,252,238.5,239.28,91974
2733,27/12/2013,2013-12-27,extreme_intraday_range,warning,日内振幅 (high-low)/close = 30.76%，属于极端日内振幅警告，需人工复核。,239.9,241.47,167.5,240.5,121466
3110,10/7/2015,2015-07-10,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.59%，属于极端日内振幅警告，需人工复核。,232.64,233.02,220.01,232.88,277575
3157,17/9/2015,2015-09-17,extreme_intraday_range,warning,日内振幅 (high-low)/close = 22.70%，属于极端日内振幅警告，需人工复核。,229.49,280,227.69,230.44,284246
3190,10/11/2015,2015-11-10,extreme_intraday_range,warning,日内振幅 (high-low)/close = 9.01%，属于极端日内振幅警告，需人工复核。,225.45,244,223.8,224.25,268600
3253,15/2/2016,2016-02-15,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.89%，属于极端日内振幅警告，需人工复核。,250,259.95,245,253.7,184572
3264,1/3/2016,2016-03-01,extreme_intraday_range,warning,日内振幅 (high-low)/close = 31.21%，属于极端日内振幅警告，需人工复核。,258,262.7,181.2,261.12,152116
3343,24/6/2016,2016-06-24,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.72%，属于极端日内振幅警告，需人工复核。,268.2,283.5,267.4,281.45,254708
3538,13/4/2017,2017-04-13,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.58%，属于极端日内振幅警告，需人工复核。,285.58,300,284,286.78,174139
3563,19/5/2017,2017-05-19,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.09%，属于极端日内振幅警告，需人工复核。,298,298,278.21,279.11,118618
4097,5/8/2019,2019-08-05,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.81%，属于极端日内振幅警告，需人工复核。,323.3,332.6,313.33,331.9,130858
4149,24/10/2019,2019-10-24,extreme_intraday_range,warning,日内振幅 (high-low)/close = 17.05%，属于极端日内振幅警告，需人工复核。,285,343,285,340.2,68459
4243,13/3/2020,2020-03-13,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.62%，属于极端日内振幅警告，需人工复核。,369,369,348.98,356.2,113793
4250,24/3/2020,2020-03-24,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.60%，属于极端日内振幅警告，需人工复核。,343,358.96,339,356.6,122622
4345,12/8/2020,2020-08-12,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.66%，属于极端日内振幅警告，需人工复核。,415.27,428.5,401.4,406.8,137024
4415,26/11/2020,2020-11-26,extreme_intraday_range,warning,日内振幅 (high-low)/close = 27.01%，属于极端日内振幅警告，需人工复核。,379.9,380.7,278.39,378.85,97084
4540,2/6/2021,2021-06-02,extreme_intraday_range,warning,日内振幅 (high-low)/close = 13.02%，属于极端日内振幅警告，需人工复核。,391.9,393.5,343,388,97202
4626,12/10/2021,2021-10-12,extreme_intraday_range,warning,日内振幅 (high-low)/close = 24.71%，属于极端日内振幅警告，需人工复核。,367,367.79,276.99,367.4,116647
4681,28/12/2021,2021-12-28,extreme_intraday_range,warning,日内振幅 (high-low)/close = 31.57%，属于极端日内振幅警告，需人工复核。,378.8,378.8,260.88,373.55,99953
4683,30/12/2021,2021-12-30,extreme_intraday_range,warning,日内振幅 (high-low)/close = 24.65%，属于极端日内振幅警告，需人工复核。,360.8,371.1,280.01,369.6,165969
4695,18/1/2022,2022-01-18,extreme_intraday_range,warning,日内振幅 (high-low)/close = 19.62%，属于极端日内振幅警告，需人工复核。,371,372.9,300,371.5,178481
4707,10/2/2022,2022-02-10,extreme_intraday_range,warning,日内振幅 (high-low)/close = 26.94%，属于极端日内振幅警告，需人工复核。,374.95,376.3,275.05,375.8,74967
4831,11/8/2022,2022-08-11,extreme_intraday_range,warning,日内振幅 (high-low)/close = 14.46%，属于极端日内振幅警告，需人工复核。,387.09,392.45,336.2,388.95,105539
4886,4/11/2022,2022-11-04,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.83%，属于极端日内振幅警告，需人工复核。,390.48,392.82,366.01,392.7,73181
4976,20/3/2023,2023-03-20,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.53%，属于极端日内振幅警告，需人工复核。,433,466.72,433,447.8,141638
4977,21/3/2023,2023-03-21,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.65%，属于极端日内振幅警告，需人工复核。,449,449,424.09,441.1,122564
5025,1/6/2023,2023-06-01,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.85%，属于极端日内振幅警告，需人工复核。,479.94,479.94,449.15,449.23,54736
5070,7/8/2023,2023-08-07,extreme_intraday_range,warning,日内振幅 (high-low)/close = 8.86%，属于极端日内振幅警告，需人工复核。,494.3,494.3,454,454.85,85213
5157,14/12/2023,2023-12-14,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.57%，属于极端日内振幅警告，需人工复核。,467.5,498,466.8,475.1,99622
5482,23/4/2025,2025-04-23,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.16%，属于极端日内振幅警告，需人工复核。,829,829,780.55,787,2724900
5630,1/12/2025,2025-12-01,extreme_intraday_range,warning,日内振幅 (high-low)/close = 21.47%，属于极端日内振幅警告，需人工复核。,946.2,962.2,756.4,958.5,865738
5670,28/1/2026,2026-01-28,extreme_intraday_range,warning,日内振幅 (high-low)/close = 13.16%，属于极端日内振幅警告，需人工复核。,1142,1185.9,1030,1185,2485900
5671,29/1/2026,2026-01-29,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.28%，属于极端日内振幅警告，需人工复核。,1180.5,1256,1178,1243.01,2872200
5672,30/1/2026,2026-01-30,extreme_intraday_range,warning,日内振幅 (high-low)/close = 8.63%，属于极端日内振幅警告，需人工复核。,1247.9,1248.5,1148.01,1164,2207300
5673,2/2/2026,2026-02-02,extreme_intraday_range,warning,日内振幅 (high-low)/close = 15.44%，属于极端日内振幅警告，需人工复核。,1153,1157,998,1030,2713600
5674,3/2/2026,2026-02-03,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.47%，属于极端日内振幅警告，需人工复核。,1070,1100,1040,1097,2487400
5675,4/2/2026,2026-02-04,extreme_intraday_range,warning,日内振幅 (high-low)/close = 9.51%，属于极端日内振幅警告，需人工复核。,1100,1198.5,1090,1140.9,1888200
5676,5/2/2026,2026-02-05,extreme_intraday_range,warning,日内振幅 (high-low)/close = 5.60%，属于极端日内振幅警告，需人工复核。,1139,1140,1078,1107.79,1448700
5678,9/2/2026,2026-02-09,extreme_intraday_range,warning,日内振幅 (high-low)/close = 7.35%，属于极端日内振幅警告，需人工复核。,1090,1132,1050,1116,965654
5701,19/3/2026,2026-03-19,extreme_intraday_range,warning,日内振幅 (high-low)/close = 11.67%，属于极端日内振幅警告，需人工复核。,1095,1181,1057,1062.49,968354
5702,20/3/2026,2026-03-20,extreme_intraday_range,warning,日内振幅 (high-low)/close = 12.77%，属于极端日内振幅警告，需人工复核。,1140,1140,1007,1041.59,1337700
5703,23/3/2026,2026-03-23,extreme_intraday_range,warning,日内振幅 (high-low)/close = 14.61%，属于极端日内振幅警告，需人工复核。,1040,1046,911,923.9,1718900
5705,25/3/2026,2026-03-25,extreme_intraday_range,warning,日内振幅 (high-low)/close = 6.29%，属于极端日内振幅警告，需人工复核。,980,1028.99,965.1,1015.5,1354300
5711,2/4/2026,2026-04-02,extreme_intraday_range,warning,日内振幅 (high-low)/close = 8.27%，属于极端日内振幅警告，需人工复核。,1060,1095,1010,1027.5,734540
